fecha,aerolineas
2017-01-01,32
2017-04-01,35
2017-07-01,33
2017-10-01,34
2018-01-01,37
2018-04-01,35
2018-07-01,36
2018-10-01,40
2019-01-01,38
2019-04-01,37
2019-07-01,38
2019-10-01,38
2020-01-01,39
2020-04-01,27
2020-07-01,22
2020-10-01,30
2021-01-01,31
2021-04-01,29
2021-07-01,27
2021-10-01,30
2022-01-01,32
2022-04-01,35
2022-07-01,31
2022-10-01,31
2023-01-01,35
2023-04-01,33
2023-07-01,32
2023-10-01,32
2024-01-01,33
2024-04-01,32
