fecha,aerolinea,vuelos,pasajeros,asientos,ocupacion
2019-09-01,Flybondi,671,110373,126725,88
2019-09-01,JetSMART Airlines,491,64566,91233,71
2019-09-01,LADE - Líneas Aéreas Del Estado,47,648,1549,42
2019-10-01,Aerolíneas Argentinas,7818,847331,1030521,83
2019-10-01,Flybondi,718,117326,135608,87
2019-10-01,JetSMART Airlines,427,58321,79422,74
2019-10-01,LADE - Líneas Aéreas Del Estado,37,389,1232,32
2019-11-01,Aerolíneas Argentinas,7441,827489,977017,85
2019-11-01,Flybondi,683,115112,129087,90
2019-11-01,JetSMART Airlines,458,67127,85097,79
2019-11-01,LADE - Líneas Aéreas Del Estado,29,387,976,40
2019-12-01,Aerolíneas Argentinas,7649,826043,997535,83
2019-12-01,Flybondi,696,118213,131544,90
2019-12-01,JetSMART Airlines,566,88496,105276,85
2019-12-01,LADE - Líneas Aéreas Del Estado,36,472,1256,38
2020-01-01,Aerolíneas Argentinas,7670,811602,988677,83
2020-01-01,Flybondi,714,122568,134942,91
2020-01-01,JetSMART Airlines,597,97075,111050,88
2020-01-01,LADE - Líneas Aéreas Del Estado,39,505,1413,36
2020-02-01,Aerolíneas Argentinas,6988,750445,907931,83
2020-02-01,Flybondi,659,111903,124446,90
2020-02-01,JetSMART Airlines,556,88011,103419,86
2020-02-01,LADE - Líneas Aéreas Del Estado,28,379,1018,38
2020-03-01,Aerolíneas Argentinas,4421,423630,587552,73
2020-03-01,Flybondi,392,60723,74088,82
2020-03-01,JetSMART Airlines,262,30740,48639,64
2020-03-01,LADE - Líneas Aéreas Del Estado,23,268,815,33
2020-04-01,Aerolíneas Argentinas,17,2005,2731,74
2020-05-01,Aerolíneas Argentinas,42,4739,6511,73
2020-05-01,JetSMART Airlines,2,120,372,33
2020-06-01,Aerolíneas Argentinas,32,3123,5170,61
2020-06-01,JetSMART Airlines,1,18,186,10
2020-07-01,Aerolíneas Argentinas,12,1224,2071,60
2020-07-01,Flybondi,2,54,284,19
2020-07-01,JetSMART Airlines,6,265,1116,24
2020-08-01,Aerolíneas Argentinas,26,1651,3611,46
2020-08-01,Flybondi,2,61,378,17
2020-08-01,JetSMART Airlines,7,264,1302,21
2020-09-01,Aerolíneas Argentinas,30,1473,3387,44
2020-09-01,Flybondi,3,120,567,22
2020-09-01,JetSMART Airlines,6,206,1116,19
2020-10-01,Aerolíneas Argentinas,122,9044,15342,59
2020-10-01,Flybondi,2,93,378,25
2020-10-01,JetSMART Airlines,1,12,93,13
2020-11-01,Aerolíneas Argentinas,743,70513,99732,71
2020-11-01,Flybondi,2,53,284,19
2020-11-01,JetSMART Airlines,40,2590,7440,35
2020-11-01,LADE - Líneas Aéreas Del Estado,15,40,555,8
2020-12-01,Aerolíneas Argentinas,1513,160504,203659,79
2020-12-01,Flybondi,114,11966,21452,56
2020-12-01,JetSMART Airlines,216,25496,40114,64
2020-12-01,LADE - Líneas Aéreas Del Estado,31,269,1120,25
2021-01-01,Aerolíneas Argentinas,2938,321291,397895,81
2021-01-01,Flybondi,182,29695,34398,87
2021-01-01,JetSMART Airlines,455,50538,84424,60
2021-01-01,LADE - Líneas Aéreas Del Estado,38,433,1350,33
2021-02-01,Aerolíneas Argentinas,2601,295840,352523,84
2021-02-01,Flybondi,189,32456,35721,91
2021-02-01,JetSMART Airlines,502,60981,93279,66
2021-02-01,LADE - Líneas Aéreas Del Estado,37,398,1369,30
2021-03-01,Aerolíneas Argentinas,3001,322706,403286,81
2021-03-01,Flybondi,355,57097,67001,86
2021-03-01,JetSMART Airlines,513,61476,95288,65
2021-03-01,LADE - Líneas Aéreas Del Estado,42,454,1536,30
2021-04-01,Aerolíneas Argentinas,2930,256029,389704,66
2021-04-01,Flybondi,333,45897,62937,73
2021-04-01,JetSMART Airlines,432,44466,80352,56
2021-04-01,LADE - Líneas Aéreas Del Estado,52,444,1828,25
2021-05-01,Aerolíneas Argentinas,2070,153056,270013,57
2021-05-01,Flybondi,193,22705,36383,63
2021-05-01,JetSMART Airlines,175,14849,32494,46
2021-05-01,LADE - Líneas Aéreas Del Estado,45,314,1698,19
2021-06-01,Aerolíneas Argentinas,1310,124439,169500,74
2021-06-01,Flybondi,315,47010,59348,80
2021-06-01,JetSMART Airlines,120,12228,22227,56
2021-06-01,LADE - Líneas Aéreas Del Estado,38,309,1292,24
2021-07-01,Aerolíneas Argentinas,2711,296883,359969,83
2021-07-01,Flybondi,382,64836,72104,90
2021-07-01,JetSMART Airlines,420,54657,78027,71
