ds;yhat;yhat_lower;yhat_upper
2024-02-29;2170742,931417476;1052815,6956129621;3214242,872583776
2024-03-31;1827079,884917011;690430,3227267361;2827735,4855859857
2024-04-30;1309147,367755776;314469,63876548136;2324738,866723406
2024-05-31;1027069,0323789638;-42428,51006256325;2139439,780016108
2024-06-30;1197815,411984855;143502,33278620368;2272666,6061299574
2024-07-31;1489357,55614462;373756,64640908444;2460524,292538731
2024-08-31;1658447,5556286944;585838,5667235767;2751661,1619667606
2024-09-30;1692141,2357272417;731236,8785265296;2769165,8358494802
2024-10-31;1623700,7657931733;600582,769790638;2626393,2068163725
2024-11-30;1510296,0104248326;463447,1664905402;2618685,277547722
2024-12-31;1443517,8669004424;354596,65200265386;2513694,8905471317
