ds;aerolinea;yhat;yhat_lower;yhat_upper
2022-03-31;Aerolíneas Argentinas;904132,6754583364;409303,40365601674;1360364,7100947504
2022-04-30;Aerolíneas Argentinas;786478,3480817981;271555,62456965906;1238398,403591753
2022-05-31;Aerolíneas Argentinas;721167,9101357806;212613,21932077451;1214989,7484745295
2022-06-30;Aerolíneas Argentinas;675074,6971808199;233783,99433291322;1156931,2222057842
2022-07-31;Aerolíneas Argentinas;852855,8675419544;385481,0719010407;1327728,9072370573
2022-08-31;Aerolíneas Argentinas;820072,6677905973;364742,90310250333;1308734,2746173867
2022-09-30;Aerolíneas Argentinas;804556,8600571236;342076,9110911776;1271083,2883119683
2022-10-31;Aerolíneas Argentinas;867711,5506941767;362543,2663473417;1318913,2965439504
2022-11-30;Aerolíneas Argentinas;878374,918455591;415227,873043673;1332885,5894563224
2022-12-31;Aerolíneas Argentinas;923218,8848749343;422161,49489426444;1388531,3439903182
2023-01-31;Aerolíneas Argentinas;1006712,9863789038;547645,6682542242;1459870,4499479898
2023-02-28;Aerolíneas Argentinas;730573,8845402439;246145,2391646654;1207410,8305401504
2023-03-31;Aerolíneas Argentinas;874795,5737359298;425877,7840151638;1347037,504366006
2023-04-30;Aerolíneas Argentinas;808668,7125362059;363697,24613717746;1269925,4212810053
2023-05-31;Aerolíneas Argentinas;761283,5725347545;273498,0931213448;1213599,7981574736
2023-06-30;Aerolíneas Argentinas;658035,7390459969;220438,79663068897;1130000,398769126
2023-07-31;Aerolíneas Argentinas;847147,9865058427;374660,26759016333;1282455,0641380753
2023-08-31;Aerolíneas Argentinas;765485,2772265266;301538,81669867283;1243674,5502108263
2023-09-30;Aerolíneas Argentinas;741694,1788025952;249607,5843460779;1207328,3470459946
2023-10-31;Aerolíneas Argentinas;853263,4480055879;348377,0658609162;1309210,3808937108
2023-11-30;Aerolíneas Argentinas;894802,1446517721;431915,6681693069;1394483,3671778766
2023-12-31;Aerolíneas Argentinas;978831,8443847231;513661,2012080473;1420037,9559101034
2024-01-31;Aerolíneas Argentinas;1014842,9636222983;539215,3517921302;1466180,1192913833
2024-02-29;Aerolíneas Argentinas;1048109,9618261196;576624,8695940037;1519697,2158929324
2024-03-31;Aerolíneas Argentinas;907887,5585563752;472334,7908276821;1424366,6375635888
2024-04-30;Aerolíneas Argentinas;685158,3995110185;208867,12680874864;1135515,4080206272
2024-05-31;Aerolíneas Argentinas;578670,9642927411;80848,0815586345;1057827,516964823
2024-06-30;Aerolíneas Argentinas;644211,9366978317;162655,36619697252;1138829,436673336
2024-07-31;Aerolíneas Argentinas;798744,4491314804;294793,8460511089;1288414,4319148858
2024-08-31;Aerolíneas Argentinas;864554,2262081316;354708,61407457426;1335022,174853188
2024-09-30;Aerolíneas Argentinas;871201,5387230477;398643,5505838964;1330180,9615043355
2024-10-31;Aerolíneas Argentinas;840085,779635769;393376,8685483796;1313271,8423612209
2024-11-30;Aerolíneas Argentinas;787506,9182654936;310692,7538047229;1213232,3436362606
2024-12-31;Aerolíneas Argentinas;748542,2176692775;252475,80558595597;1213431,1563018758
2017-01-31;American Airlines;61890,95086442321;39080,99505509808;86382,84215865782
2017-02-28;American Airlines;69175,63557893809;47121,50692659508;92750,26693447863
2017-03-31;American Airlines;63340,385871510574;39280,525530380546;87508,59598218495
2017-04-30;American Airlines;49194,612611215794;25534,805431024513;72542,03986118376
2017-05-31;American Airlines;50001,99593116708;25478,183852091664;73966,1670847049
2017-06-30;American Airlines;50855,417914568134;26498,983512253857;74554,47602001374
2017-07-31;American Airlines;52037,01567783198;28029,696029348896;75579,59705752989
2017-08-31;American Airlines;54327,856062855164;31947,100684153247;79694,06327269082
2017-09-30;American Airlines;52670,36197592545;28825,193725784928;77974,19407765356
2017-10-31;American Airlines;56642,10148661229;33474,29569586668;80040,64522226197
2017-11-30;American Airlines;59276,99047525578;35732,64172116757;82082,13869960494
2017-12-31;American Airlines;63605,03333515846;40238,55942587048;87919,95743670953
2018-01-31;American Airlines;64276,57610691362;40198,98001663709;87981,79793339309
2018-02-28;American Airlines;56910,45263483834;33873,76368338482;81447,85823717086
2018-03-31;American Airlines;58251,85373854227;33714,231953293136;81512,89504745549
2018-04-30;American Airlines;49476,666463212954;26762,134191277066;73307,62808932296
2018-05-31;American Airlines;49058,556724727605;24265,198124955412;71129,62134236135
2018-06-30;American Airlines;47787,55150052209;25811,99378090527;70593,16177994898
2018-07-31;American Airlines;49096,48449509906;25514,77004182207;71917,79803921349
2018-08-31;American Airlines;50285,367223336456;25933,812939498708;73967,02079379324
2018-09-30;American Airlines;47362,31929970869;24714,812365519076;70812,7381162265
2018-10-31;American Airlines;51328,7954263384;27561,645421082354;74099,09660188532
2018-11-30;American Airlines;56833,40644617119;34625,148761906305;81913,87357456406
2018-12-31;American Airlines;64453,33239582451;42418,04070813433;88259,51824303174
2019-01-31;American Airlines;66488,65487700352;43952,94017630525;90089,39002585033
2019-02-28;American Airlines;44579,14949656656;20272,088342048053;68784,22269138049
2019-03-31;American Airlines;53330,22808857837;29059,907947259144;76189,81529194531
2019-04-30;American Airlines;49857,26331572094;27897,300200030037;73144,8165491806
2019-05-31;American Airlines;48093,03689281062;25312,400212405584;70830,2504400456
2019-06-30;American Airlines;44667,48954588242;19210,300575122834;66768,01093725646
2019-07-31;American Airlines;46104,880195822196;20812,03202630895;70494,1067383596
2019-08-31;American Airlines;46190,42687533399;23592,82556557689;69225,62530699206
2019-09-30;American Airlines;42053,786659388046;19187,065324953157;65152,438701577405
2019-10-31;American Airlines;46089,461460900755;22190,86891734118;71323,03008491162
2019-11-30;American Airlines;54501,8396705122;31389,49247021264;77467,86742553
2019-12-31;American Airlines;65334,33722446425;40531,261646622275;89572,67205125825
2020-01-31;American Airlines;68521,24462241543;44954,507902148034;92663,68899233885
2020-02-29;American Airlines;68395,2535820281;44128,34597137705;92497,6193782001
2020-03-31;American Airlines;55622,85928713125;30709,31521404383;80563,00770137804
2020-04-30;American Airlines;36046,6102541789;12164,793762238158;61335,72772428596
2020-05-31;American Airlines;37958,82368130828;13121,87303097217;60018,21972069052
2020-06-30;American Airlines;40903,85505597074;18965,163907551552;64519,3053658489
2020-07-31;American Airlines;41958,57855121638;18858,259741192578;66040,57881499341
2020-08-31;American Airlines;45348,460888835114;19646,641712725293;68136,79876827194
2020-09-30;American Airlines;45006,89495131079;22232,474596004176;68364,6998673643
2020-10-31;American Airlines;49059,69845427794;25164,470012901504;73288,87105102185
2020-11-30;American Airlines;48868,53361797432;25595,563903220926;73883,43565752821
2020-12-31;American Airlines;49830,81142172105;25352,618026028114;73969,16730345975
2021-01-31;American Airlines;48926,79296217577;25172,597287608813;73436,5507674659
2021-02-28;American Airlines;56212,57543519703;31771,5456955527;80661,87352485505
2021-03-31;American Airlines;50378,54110334787;28325,640271149223;75857,60306147677
2021-04-30;American Airlines;36234,3197796263;11338,661432329965;60274,70604559682
2021-05-31;American Airlines;37043,306767629656;12750,647333692456;60570,09384945437
2021-06-30;American Airlines;37898,50532486605;13717,939867712746;61492,47793837707
2021-07-31;American Airlines;39081,938881096125;16353,494613349465;62375,99291336036
2021-08-31;American Airlines;41374,61505882065;17342,3071729673;65161,908618106885
2021-09-30;American Airlines;39718,947865915696;18531,379855256087;64928,58692180957
2021-10-31;American Airlines;43692,57516718042;20790,69593192533;66729,64044528073
2021-11-30;American Airlines;46329,29104997464;23627,85127421471;68220,66813517736
2021-12-31;American Airlines;50659,35923119872;28359,47015249312;72813,9753268272
2022-01-31;American Airlines;51332,92732452567;28146,037183593246;74239,28600936476
2022-02-28;American Airlines;43968,63317504329;20376,635204087313;67396,07472277977
2022-03-31;American Airlines;45312,0701199728;21297,365508824518;69298,83877153519
2022-04-30;American Airlines;36538,85301373558;13391,65187984666;59762,30899165504
2022-05-31;American Airlines;36122,77939570711;10731,563890778736;59088,085749024554
2022-06-30;American Airlines;34853,74461068411;12409,420788892434;58290,396966482236
2022-07-31;American Airlines;36164,713725907925;11541,181071546393;59721,905688616156
2022-08-31;American Airlines;37355,632575167445;14530,044494704582;61156,86224534566
2022-09-30;American Airlines;34434,55509136374;9361,964541103365;58401,07135441416
2022-10-31;American Airlines;38403,06733915258;12940,733002427149;61213,88050608532
2022-11-30;American Airlines;43909,648799098155;19696,240009211608;68579,62273420245
2022-12-31;American Airlines;51531,61087010108;28879,738339638086;75638,9148288195
2023-01-31;American Airlines;53568,969472596975;31223,671951206547;76053,62480448492
2023-02-28;American Airlines;31661,303169538885;6957,76711296121;55852,47130158125
2023-03-31;American Airlines;40414,417882796195;17418,982300447096;62829,906735491495
2023-04-30;American Airlines;36943,423549924846;12905,005917816683;62465,27512700192
2023-05-31;American Airlines;35181,23324824231;11187,803182687143;57814,60725373235
2023-06-30;American Airlines;31757,65634127066;8006,480270312858;56805,90261072601
2023-07-31;American Airlines;33197,08311250292;9274,72043800436;57316,26336994862
2023-08-31;American Airlines;33284,66591324636;9595,25148772012;57914,02270427932
2023-09-30;American Airlines;29149,996137205108;3610,9164253058934;53189,94374953869
2023-10-31;American Airlines;33187,70705995543;10555,426723249013;57359,47488528758
2023-11-30;American Airlines;41602,05570913709;17704,941370734407;65271,962912104915
2023-12-31;American Airlines;52436,589383994346;28814,090766611025;76916,09099318898
2024-01-31;American Airlines;55625,532902767;31442,260610522797;77714,84243884016
2024-02-29;American Airlines;55501,410492378986;30079,00477523469;79546,35093549755
2024-03-31;American Airlines;42731,01369851424;17679,96091329999;66297,9760019156
2024-04-30;American Airlines;23156,697731117103;-2029,0903360541636;46558,981992546855
2024-05-31;American Airlines;25070,77595432681;1717,172519054703;48084,39309807582
2024-06-30;American Airlines;28017,611970401293;4330,357113800014;52194,464570661876
2024-07-31;American Airlines;29074,07376239554;4531,419451332203;53928,32843156431
2024-08-31;American Airlines;32465,694396793107;8590,19204045558;56388,225456231994
2024-09-30;American Airlines;32125,810681974224;6529,348207921261;56093,12575408366
2024-10-31;American Airlines;36179,929143331996;12412,183527138886;59516,130718548375
2024-11-30;American Airlines;35990,03684745054;11691,138802675268;61425,5852790343
2024-12-31;American Airlines;36953,62960955475;16189,419209421842;61172,23383096238
2017-01-31;Andes Líneas Aéreas;69433,8724825886;40207,55848249239;101167,73466349216
2017-02-28;Andes Líneas Aéreas;61088,52717964738;33571,22017474568;92949,89164362954
2017-03-31;Andes Líneas Aéreas;59608,629205771766;28786,665419266712;88411,79037007873
2017-04-30;Andes Líneas Aéreas;56467,251982474765;26310,188770264933;85461,1616835515
2017-05-31;Andes Líneas Aéreas;51052,06264686376;19586,182366351124;81227,64780456883
2017-06-30;Andes Líneas Aéreas;50699,396820799266;19756,65086288183;78810,09940652228
2017-07-31;Andes Líneas Aéreas;63557,97858496584;31657,810241378345;93713,15698556819
2017-08-31;Andes Líneas Aéreas;66081,3085538193;36599,80394437302;94757,24586874075
2017-09-30;Andes Líneas Aéreas;64078,097739795616;34429,10400620034;93137,48842533094
2017-10-31;Andes Líneas Aéreas;60334,096868866385;29911,44953174958;88217,30744029673
2017-11-30;Andes Líneas Aéreas;55224,36128971978;25928,712839842836;82844,47095576541
2017-12-31;Andes Líneas Aéreas;58276,32685506963;28285,818098031974;86046,69777672873
2018-01-31;Andes Líneas Aéreas;58430,96909344875;31169,626940820992;88941,74818444456
2018-02-28;Andes Líneas Aéreas;52501,107907890124;22732,883292331142;78307,05576014979
2018-03-31;Andes Líneas Aéreas;49876,746578764934;21117,577758610412;80307,17466840622
2018-04-30;Andes Líneas Aéreas;42863,14220539769;13551,063934486196;71186,48435906919
2018-05-31;Andes Líneas Aéreas;40113,726522563375;9533,625202141571;67820,54365976152
2018-06-30;Andes Líneas Aéreas;39406,07040884468;10647,320814613764;68396,52981385942
2018-07-31;Andes Líneas Aéreas;54219,22835321831;25316,081687285347;83640,66876668399
2018-08-31;Andes Líneas Aéreas;56106,251201694016;27899,026844440054;86925,74332978914
2018-09-30;Andes Líneas Aéreas;53350,81001435474;22618,448267249383;83374,9433762817
2018-10-31;Andes Líneas Aéreas;49611,767605989;22102,29091058661;79461,21652739074
2018-11-30;Andes Líneas Aéreas;42735,8101880289;12011,07440317525;73627,49395509054
2018-12-31;Andes Líneas Aéreas;47373,63127865854;16540,827510292405;77013,7003838881
2019-01-31;Andes Líneas Aéreas;47470,13634699971;18906,92544090462;78132,88397409818
2019-02-28;Andes Líneas Aéreas;43910,31146055227;13129,730494762474;74197,47545320654
2019-03-31;Andes Líneas Aéreas;40069,09280203251;9260,2435090068;70731,82649262385
2019-04-30;Andes Líneas Aéreas;29235,377630034498;-76,14474639477827;59271,56146233276
2019-05-31;Andes Líneas Aéreas;29210,685976469595;-1329,4262702066305;59655,23781536488
2019-06-30;Andes Líneas Aéreas;28156,756504702968;-1364,1341699655472;59903,22407369293
2019-07-31;Andes Líneas Aéreas;44903,03943863936;14622,170580757744;71425,61351432261
2019-08-31;Andes Líneas Aéreas;46111,31273720594;17095,23087091997;75964,59122649446
2019-09-30;Andes Líneas Aéreas;42594,97258358868;13334,429984221377;72898,26688539448
2019-10-31;Andes Líneas Aéreas;38855,95838420387;9289,49003499404;69063,53047514815
2019-11-30;Andes Líneas Aéreas;30252,180476196634;932,8677731025352;58585,016853391855
2019-12-31;Andes Líneas Aéreas;36506,80762476604;6502,648770539538;67605,52973798447
2020-01-31;Andes Líneas Aéreas;36551,455043177426;6066,067056441491;66146,32856509277
2020-02-29;Andes Líneas Aéreas;26632,715793582887;-3667,0042044191887;55202,45101379276
2020-03-31;Andes Líneas Aéreas;26223,15758202219;-3933,9252621443347;55841,023665801054
